TransactionID,OrderDate,DeliveryDate,Manufacturer,ManufacturerRegion,TherapeuticCategory,ProductDescription,Quantity,UnitPrice,TotalCost,ComplianceStandards,RiskFactors,ShortageRisk,ColdChainRequired,LeadTimeDays,OnTimeDelivery,SavingsIdentified,SavingsRealized,PaymentTermsDays,ContractNumber
PHRX00001,2025-09-21,2025-11-07,Cork Pharmaceutical Manufacturing Ltd,Ireland,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,2386,1262.21,3011633.06,"FDA Approved, GMP Certified, WHO Prequalified, GDP Compliant",Single Source Supplier,Medium,True,47,False,290719.5,232869.04,90,PHR-CON-4342
PHRX00002,2024-05-08,2024-06-25,Italian Drug Manufacturing,EU,Oncology - Injectable,Oncology Pharmaceutical Product,4657,2273.58,10588062.06,"EMA Certified, ISO 13485 Certified",Geopolitical Risk,Medium,True,48,False,2146187.75,1182775.1,60,PHR-CON-9206
PHRX00003,2024-08-12,2024-09-10,French Biologics SA,EU,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,8885,3662.17,32538380.45,"ISO 13485 Certified, FDA Approved",Transportation Delays,Medium,False,29,True,0.0,0.0,60,
PHRX00004,2023-11-06,2023-12-19,Boston Scientific Supply Inc,USA,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,4841,3323.25,16087853.25,"EMA Certified, FDA Approved",Regulatory Approval Delays,Medium,False,43,False,0.0,0.0,60,PHR-CON-8321
PHRX00005,2024-02-22,2024-03-22,Texas Pharma Manufacturing,USA,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,2903,3065.2,8898275.6,"WHO Prequalified, EMA Certified, GMP Certified, ISO 13485 Certified",Raw Material Shortage,Medium,False,29,True,0.0,0.0,60,PHR-CON-9694
PHRX00006,2024-10-05,2024-12-04,Dublin BioPharmaceuticals,Ireland,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,6672,4034.98,26921386.56,"FDA Approved, EMA Certified, GDP Compliant",None,Low,False,60,False,0.0,0.0,90,
PHRX00007,2025-08-08,2025-09-13,Texas Pharma Manufacturing,USA,Pain Management - Injectable,Pain Management Pharmaceutical Product,9297,1270.81,11814720.57,"GDP Compliant, GMP Certified, ISO 13485 Certified, WHO Prequalified",Geopolitical Risk,Medium,False,36,False,0.0,0.0,60,PHR-CON-3440
PHRX00008,2024-12-26,2025-01-07,Cork Pharmaceutical Manufacturing Ltd,Ireland,Pain Management - Injectable,Pain Management Pharmaceutical Product,7016,3155.86,22141513.76,"FDA Approved, ISO 13485 Certified, GMP Certified, GDP Compliant","Manufacturing Capacity Constraints, Quality Audit Issues, Transportation Delays",High,False,12,True,0.0,0.0,90,PHR-CON-9719
PHRX00009,2024-04-20,2024-05-04,French Biologics SA,EU,Respiratory - Inhaled,Respiratory Pharmaceutical Product,7223,602.18,4349546.14,"ISO 13485 Certified, FDA Approved","Raw Material Shortage, Quality Audit Issues, Manufacturing Capacity Constraints",High,False,14,True,0.0,0.0,30,PHR-CON-1151
PHRX00010,2024-12-03,2025-01-19,Bangalore Pharmaceutical Co,India,Pain Management - Injectable,Pain Management Pharmaceutical Product,2746,1900.87,5219789.02,"GMP Certified, FDA Approved, GDP Compliant, EMA Certified",None,Low,False,47,False,0.0,0.0,60,
PHRX00011,2024-04-19,2024-05-11,Dublin BioPharmaceuticals,Ireland,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,8062,473.98,3821226.76,"GMP Certified, EMA Certified",None,Low,False,22,True,0.0,0.0,60,PHR-CON-9722
PHRX00012,2025-01-14,2025-02-23,Italian Drug Manufacturing,EU,Oncology - Injectable,Oncology Pharmaceutical Product,3395,4648.12,15780367.4,"GDP Compliant, ISO 13485 Certified, WHO Prequalified, EMA Certified","Regulatory Approval Delays, Single Source Supplier",High,True,40,False,991088.8,505967.81,90,PHR-CON-2277
PHRX00013,2025-04-14,2025-05-05,Cork Pharmaceutical Manufacturing Ltd,Ireland,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,614,1183.26,726521.64,"FDA Approved, GMP Certified, EMA Certified",None,Low,False,21,True,0.0,0.0,90,PHR-CON-8566
PHRX00014,2025-04-19,2025-06-01,Italian Drug Manufacturing,EU,Oncology - Injectable,Oncology Pharmaceutical Product,6769,3933.87,26628366.03,"FDA Approved, WHO Prequalified",Quality Audit Issues,Medium,True,43,False,0.0,0.0,90,PHR-CON-6460
PHRX00015,2025-07-13,2025-07-23,Cork Pharmaceutical Manufacturing Ltd,Ireland,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,1890,3654.66,6907307.4,"EMA Certified, WHO Prequalified",Geopolitical Risk,Medium,False,10,True,0.0,0.0,30,PHR-CON-6805
